doi,sources,ror_ids,year,datacite_client_id,datacite_publisher,datacite_resourceTypeGeneral,datacite_title,datacite_licenses,crossref_member,crossref_publisher,crossref_year,crossref_title,n_authors_total,n_authors_with_orcid
10.5281/zenodo.10209500,datacite,https://ror.org/02m5haa59,2023,cern.zenodo,Zenodo,Dataset,19ENG08.Calibration_special_2kNm_TorqueTransducer.CMI.v1.20231106,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,3,2
10.5281/zenodo.10209501,datacite,https://ror.org/02m5haa59,2023,cern.zenodo,Zenodo,Dataset,19ENG08.Calibration_special_2kNm_TorqueTransducer.CMI.v1.20231106,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,3,2
10.5281/zenodo.10932087,datacite,https://ror.org/02j46qs45;https://ror.org/02m5haa59,2024,cern.zenodo,Zenodo,Dataset,"Publication and supported data for manuscript ""Epitaxial growth and characterization of multi-layer site-controlled InGaAs quantum dots based on the buried stressor method"" in Appl. Phys. Lett. 124, 061102 (2024).",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,11,11
10.5281/zenodo.10932088,datacite,https://ror.org/02j46qs45;https://ror.org/02m5haa59,2024,cern.zenodo,Zenodo,Dataset,"Supported data for manuscript ""Epitaxial growth and characterization of multi-layer site-controlled InGaAs quantum dots based on the buried stressor method"" in Appl. Phys. Lett. 124, 061102 (2024).",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,11,11
10.5281/zenodo.10932779,datacite,https://ror.org/02j46qs45;https://ror.org/02m5haa59,2024,cern.zenodo,Zenodo,Dataset,"Publication and supported data for manuscript ""Self-Aligned Photonic Defect Microcavity Lasers with Site-Controlled Quantum Dots"" in Laser Photonics Rev. 2024, 2301242.",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,6
10.5281/zenodo.10932780,datacite,https://ror.org/02j46qs45;https://ror.org/02m5haa59,2024,cern.zenodo,Zenodo,Dataset,"Supported data for manuscript ""Self-Aligned Photonic Defect Microcavity Lasers with Site-Controlled Quantum Dots"" in Laser Photonics Rev. 2024, 2301242.",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,6
10.5281/zenodo.11620552,datacite,https://ror.org/02m5haa59,2024,cern.zenodo,Zenodo,Dataset,Assessing Hydrodynamic resistance in Microfluidics: A Case Study - datasets,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,6,1
10.5281/zenodo.11620553,datacite,https://ror.org/02m5haa59,2024,cern.zenodo,Zenodo,Dataset,Assessing Hydrodynamic resistance in Microfluidics: A Case Study - datasets,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,6,1
10.5281/zenodo.12732337,datacite,https://ror.org/02j46qs45;https://ror.org/02m5haa59,2024,cern.zenodo,Zenodo,Dataset,"Supported data for manuscript ""Epitaxial growth and characterization of multi-layer site-controlled InGaAs quantum dots based on the buried stressor method"" in Appl. Phys. Lett. 124, 061102 (2024).",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,11,11
10.5281/zenodo.12732398,datacite,https://ror.org/02j46qs45;https://ror.org/02m5haa59,2024,cern.zenodo,Zenodo,Dataset,"Supported data for manuscript ""Self-Aligned Photonic Defect Microcavity Lasers with Site-Controlled Quantum Dots"" in Laser Photonics Rev. 2024, 2301242.",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,6
10.5281/zenodo.10728573,datacite,https://ror.org/02j46qs45;https://ror.org/02m5haa59,2024,cern.zenodo,Zenodo,Dataset,SPM stitching data,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,,,,,8,4
10.5281/zenodo.10728572,datacite,https://ror.org/02j46qs45;https://ror.org/02m5haa59,2024,cern.zenodo,Zenodo,Dataset,SPM stitching data,https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,,,,,8,4
10.57703/ce-n4ybj,datacite,https://ror.org/02m5haa59;https://ror.org/03613d656,2024,qvvc.c-engineering,contact.engineering,Dataset,D46 – surface topography challenge,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,3,3
10.57703/ce-bvqpp,datacite,https://ror.org/02m5haa59;https://ror.org/03613d656,2024,qvvc.c-engineering,contact.engineering,Dataset,D45 – surface topography challenge,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,3,3
10.57703/ce-cecur,datacite,https://ror.org/02m5haa59;https://ror.org/03613d656,2024,qvvc.c-engineering,contact.engineering,Dataset,S26 – surface topography challenge,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,3,3
10.57703/ce-wxek9,datacite,https://ror.org/02m5haa59;https://ror.org/03613d656,2024,qvvc.c-engineering,contact.engineering,Dataset,S25 – surface topography challenge,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,3,3
10.5281/zenodo.14602595,datacite,https://ror.org/02j46qs45;https://ror.org/02m5haa59,2024,cern.zenodo,Zenodo,Dataset,"Publication and supported data for manuscript ""Epitaxial growth and characterization of multi-layer site-controlled InGaAs quantum dots based on the buried stressor method"" in Appl. Phys. Lett. 124, 061102 (2024).",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,11,11
10.5281/zenodo.14602600,datacite,https://ror.org/02j46qs45;https://ror.org/02m5haa59,2024,cern.zenodo,Zenodo,Dataset,"Supported data for manuscript ""Self-Aligned Photonic Defect Microcavity Lasers with Site-Controlled Quantum Dots"" in Laser Photonics Rev. 2024, 2301242.",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,6
10.5281/zenodo.14765907,datacite,https://ror.org/02j46qs45;https://ror.org/02m5haa59,2024,cern.zenodo,Zenodo,Dataset,"Publication and supported data for manuscript ""Self-Aligned Photonic Defect Microcavity Lasers with Site-Controlled Quantum Dots"" in Laser Photonics Rev. 2024, 2301242.",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,6
10.5281/zenodo.14849038,datacite,https://ror.org/02m5haa59,2025,cern.zenodo,Zenodo,Dataset,Proposal for new values of ISO 4037 mono-energetic photon conversion coefficients,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,1,1
10.5281/zenodo.14849039,datacite,https://ror.org/02m5haa59,2025,cern.zenodo,Zenodo,Dataset,Proposal for new values of ISO 4037 mono-energetic photon conversion coefficients,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,1,1
10.5281/zenodo.14936484,datacite,https://ror.org/02m5haa59,2025,cern.zenodo,Zenodo,Dataset,Catalogue of X-ray energy spectra of electronic brachytherapy (eBT) device Papillon 50 manufactured by Ariane Medical Systems,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,1,1
10.5281/zenodo.14936483,datacite,https://ror.org/02m5haa59,2025,cern.zenodo,Zenodo,Dataset,Catalogue of X-ray energy spectra of electronic brachytherapy (eBT) device Papillon 50 manufactured by Ariane Medical Systems,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,1,1
10.5281/zenodo.15269231,datacite,https://ror.org/02m5haa59,2025,cern.zenodo,Zenodo,Dataset,Proposal for new values of ISO 4037 mono-energetic photon conversion coefficients,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,1,1
10.5518/1763,datacite,https://ror.org/02m5haa59,2025,bl.leeds,University of Leeds,Dataset,"Data associated with ""Thermoelectric Fingerprinting of Bloch- and Néel-type Skyrmions""",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,9,9
10.5281/zenodo.17475363,datacite,https://ror.org/02j46qs45;https://ror.org/02m5haa59,2025,cern.zenodo,Zenodo,Dataset,"Dataset and article ""Buried-stressor technology for the epitaxial growth and deviceintegration of site-controlled quantum dots""",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,4,4
10.5281/zenodo.17475362,datacite,https://ror.org/02j46qs45;https://ror.org/02m5haa59,2025,cern.zenodo,Zenodo,Dataset,"Dataset and article ""Buried-stressor technology for the epitaxial growth and deviceintegration of site-controlled quantum dots""",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,4,4
10.5281/zenodo.17569452,datacite,https://ror.org/02m5haa59,2025,cern.zenodo,Zenodo,Dataset,Evaluation results of Monte Carlo script for dissemination of mass,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,1,1
10.5281/zenodo.17569453,datacite,https://ror.org/02m5haa59,2025,cern.zenodo,Zenodo,Dataset,Evaluation results of Monte Carlo script for dissemination of mass,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,1,1
10.5281/zenodo.17220466,datacite,https://ror.org/04d41fm91,2025,cern.zenodo,Zenodo,Dataset,Dataset for project outputs,All rights reserved,,,,,1,0
10.5281/zenodo.17220467,datacite,https://ror.org/04d41fm91,2025,cern.zenodo,Zenodo,Dataset,Dataset for project outputs,All rights reserved,,,,,1,0
10.6084/m9.figshare.26754922,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 3 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754922.v1,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 3 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754925,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 4 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754925.v1,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 4 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754928.v1,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 5 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754928,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 5 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754931,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 6 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754931.v1,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 6 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754934,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 7 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754934.v1,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 7 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754937,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 8 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754937.v1,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 8 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754940,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 9 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754940.v1,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 9 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754943,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 10 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754943.v1,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 10 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754946,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 11 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754946.v1,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 11 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754949,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 12 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754949.v1,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 12 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754952,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 13 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754952.v1,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 13 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754955,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 14 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754955.v1,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 14 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754958,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 15 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.6084/m9.figshare.26754958.v1,datacite,https://ror.org/02j46qs45;https://ror.org/03ef7g429,2024,figshare.ars,figshare,Dataset,Additional file 15 of Integrative phenotyping analyses reveal the relevance of the phyB-PIF4 pathway in Arabidopsis thaliana reproductive organs at high ambient temperature,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,0
10.5281/zenodo.17397842,datacite,https://ror.org/03ef7g429,2025,cern.zenodo,Zenodo,Dataset,Source data for MTA-assisted GWAS in wild barley.,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,3
10.5281/zenodo.17397843,datacite,https://ror.org/03ef7g429,2025,cern.zenodo,Zenodo,Dataset,Source data for MTA-assisted GWAS in wild barley.,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,7,3
10.5281/zenodo.14238779,datacite,https://ror.org/012pre389;https://ror.org/05x8mcb75,2024,cern.zenodo,Zenodo,Dataset,Creep Resistance and Microstructure Evolution in P23/P91 Welds,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,6,5
10.5061/dryad.gb5mkkwnw,datacite,https://ror.org/02251ba66,2021,dryad.dryad,Dryad,Dataset,Carbon allocation to the rhizosphere is affected by drought and nitrogen addition,https://creativecommons.org/publicdomain/zero/1.0/legalcode,,,,,6,5
10.5281/zenodo.8382920,datacite,https://ror.org/02251ba66,2025,cern.zenodo,Zenodo,Dataset,Europe's forest harvesting regimes dataset,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,18,2
10.5281/zenodo.8382919,datacite,https://ror.org/02251ba66,2025,cern.zenodo,Zenodo,Dataset,Europe's forest harvesting regimes dataset,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,18,2
10.5281/zenodo.17236847,datacite,https://ror.org/004jpn268,2025,cern.zenodo,Zenodo,Dataset,Database of Citizen Science initiatives (projects) for soil monitoring,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,1,1
10.5281/zenodo.17236846,datacite,https://ror.org/004jpn268,2025,cern.zenodo,Zenodo,Dataset,Database of Citizen Science initiatives (projects) for soil monitoring,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,1,1
10.5281/zenodo.16633510,datacite,https://ror.org/0556an218,2025,cern.zenodo,Zenodo,Dataset,Dataset for 'A new approach to SEM in-situ thermomechanical experiments through automation',https://creativecommons.org/licenses/by/4.0/legalcode,,,,,10,8
10.5281/zenodo.16633511,datacite,https://ror.org/0556an218,2025,cern.zenodo,Zenodo,Dataset,Dataset for 'A new approach to SEM in-situ thermomechanical experiments through automation',https://creativecommons.org/licenses/by/4.0/legalcode,,,,,10,8
10.5281/zenodo.14565832,datacite,https://ror.org/00angvn73;https://ror.org/01p7k1986;https://ror.org/02j46qs45;https://ror.org/03613d656;https://ror.org/03ve83257,2024,cern.zenodo,Zenodo,Dataset,Characterization of conductive hydrogels based on PEDOT,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,11,11
10.5281/zenodo.14565833,datacite,https://ror.org/00angvn73;https://ror.org/01p7k1986;https://ror.org/02j46qs45;https://ror.org/03613d656;https://ror.org/03ve83257,2024,cern.zenodo,Zenodo,Dataset,Characterization of conductive hydrogels based on PEDOT,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,11,11
10.6084/m9.figshare.22611449,datacite,https://ror.org/010pg3352;https://ror.org/024d6js02,2023,figshare.ars,figshare,Dataset,Additional file 1 of Long-term study reveals central European aerial insectivores as an unusual group of hosts that harbor mostly helminths that are unable to complete life-cycles in the nesting quarters of their hosts,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,2,0
10.6084/m9.figshare.22611449.v1,datacite,https://ror.org/010pg3352;https://ror.org/024d6js02,2023,figshare.ars,figshare,Dataset,Additional file 1 of Long-term study reveals central European aerial insectivores as an unusual group of hosts that harbor mostly helminths that are unable to complete life-cycles in the nesting quarters of their hosts,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,2,0
10.5061/dryad.2v6wwpzj0,datacite,https://ror.org/04dea3c58;https://ror.org/057br4398,2022,dryad.dryad,Dryad,Dataset,Fonio millet genome unlocks African orphan crop diversity for agriculture in a changing climate,https://creativecommons.org/publicdomain/zero/1.0/legalcode,,,,,28,1
10.6084/m9.figshare.28091431,datacite,https://ror.org/01x1xh678;https://ror.org/04qxnmv42;https://ror.org/053avzc18,2024,figshare.ars,figshare,Dataset,"Additional file 1 of New estimates and synthesis of chromosome numbers, ploidy levels and genome size variation in Allium sect. Codonoprasum: advancing our understanding of the unresolved diversification and evolution of this section",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,5,1
10.6084/m9.figshare.28091431.v1,datacite,https://ror.org/01x1xh678;https://ror.org/04qxnmv42;https://ror.org/053avzc18,2024,figshare.ars,figshare,Dataset,"Additional file 1 of New estimates and synthesis of chromosome numbers, ploidy levels and genome size variation in Allium sect. Codonoprasum: advancing our understanding of the unresolved diversification and evolution of this section",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,5,1
10.5281/zenodo.10993285,datacite,https://ror.org/01p7k1986;https://ror.org/027taah18;https://ror.org/029vq3n45;https://ror.org/02j46qs45,2024,cern.zenodo,Zenodo,Dataset,"Dataset for article ""W18O49 Nanowhiskers Decorating SiO2 Nanofibers: Lessons from In Situ SEM/TEM Growth to Large Scale Synthesis and Fundamental Structural Understanding"" in Crystal Growth & Design, Des. 2024, 24, 1, 378–390",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,10,9
10.5281/zenodo.10993286,datacite,https://ror.org/01p7k1986;https://ror.org/027taah18;https://ror.org/029vq3n45;https://ror.org/02j46qs45,2024,cern.zenodo,Zenodo,Dataset,"Dataset for article ""W18O49 Nanowhiskers Decorating SiO2 Nanofibers: Lessons from In Situ SEM/TEM Growth to Large Scale Synthesis and Fundamental Structural Understanding"" in Crystal Growth & Design, Des. 2024, 24, 1, 378–390",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,10,9
10.5281/zenodo.12650828,datacite,https://ror.org/029vq3n45;https://ror.org/02j46qs45,2024,cern.zenodo,Zenodo,Dataset,"Dataset for article ""Synthesis of high surface area Cu/SiO2 nanofiber catalysts for non-oxidative ethanol dehydrogenation""",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,8,8
10.5281/zenodo.12650829,datacite,https://ror.org/029vq3n45;https://ror.org/02j46qs45,2024,cern.zenodo,Zenodo,Dataset,"Dataset for article ""Synthesis of high surface area Cu/SiO2 nanofiber catalysts for non-oxidative ethanol dehydrogenation""",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,8,8
10.5281/zenodo.13271359,datacite,https://ror.org/01p7k1986;https://ror.org/029vq3n45;https://ror.org/03613d656,2024,cern.zenodo,Zenodo,Dataset,"Dataset for ""Study of Rapid Capacity Fade in Prismatic Li-ion Cells with Flexible Packaging""",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,11,10
10.5281/zenodo.13271360,datacite,https://ror.org/01p7k1986;https://ror.org/029vq3n45;https://ror.org/03613d656,2024,cern.zenodo,Zenodo,Dataset,"Dataset for ""Study of Rapid Capacity Fade in Prismatic Li-ion Cells with Flexible Packaging""",https://creativecommons.org/licenses/by/4.0/legalcode,,,,,11,10
10.5281/zenodo.13361803,datacite,https://ror.org/029vq3n45;https://ror.org/03613d656,2024,cern.zenodo,Zenodo,Dataset,"Dataset of ""Wasting of Critical Raw Materials in Batteries for Single-Use E-Cigarettes """,https://creativecommons.org/licenses/by/4.0/legalcode,,,,,8,7
